qseqid,sseqid,staxid,ssciname,scomname,sskingdom,pident,length,qlen,slen,mismatch,gapopen,gaps,qstart,qend,sstart,send,stitle,evalue,bitscore,qcovs,qcovhsp
Zotu25,gi|406652805|gb|CP003801.1|,744985,alpha proteobacterium HIMB59,alpha proteobacterium HIMB59,Bacteria,98.722,313,313,1410127,4,0,0,1,313,696291,696603,"Alpha proteobacterium HIMB59, complete genome",3.94E-151,547,100,100
Zotu28,gi|1573756666|gb|MK084944.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,985,0,0,0,1,313,481,793,"Tripneustes gratilla isolate MB007 16S ribosomal RNA gene, partial sequence; and cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1573756662|gb|MK084942.1|,2004905,Tripneustes kermadecensis,Tripneustes kermadecensis,Eukaryota,100,313,313,903,0,0,0,1,313,415,727,"Tripneustes kermadecensis isolate MB005 16S ribosomal RNA gene, partial sequence; and cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1573756660|gb|MK084941.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1009,0,0,0,1,313,494,806,"Tripneustes gratilla isolate MB001 16S ribosomal RNA gene, partial sequence; and cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1197710923|ref|NC_034770.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,15720,0,0,0,1,313,6245,6557,"Tripneustes gratilla mitochondrion, complete genome",1.47E-156,565,100,100
Zotu28,gi|1049352005|gb|KU314864.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla isolate Pi187197 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1049351999|gb|KU314861.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla isolate Pi187157.2 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1049351995|gb|KU314859.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla isolate Pi187156K1 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1049351985|gb|KU314854.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla isolate ZnTg104 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1049351983|gb|KU314853.1|,7673,Tripneustes gratilla,Hawaiian sea urchin,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla isolate ZnTg103 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu28,gi|1049351967|gb|KU314845.1|,1885024,Tripneustes gratilla elatensis,Tripneustes gratilla elatensis,Eukaryota,100,313,313,1126,0,0,0,1,313,304,616,"Tripneustes gratilla elatensis isolate RSEQ2 cytochrome c oxidase subunit I (cox1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu29,gi|406652805|gb|CP003801.1|,744985,alpha proteobacterium HIMB59,alpha proteobacterium HIMB59,Bacteria,98.083,313,313,1410127,6,0,0,1,313,696291,696603,"Alpha proteobacterium HIMB59, complete genome",2.04E-148,538,100,100
Zotu30,gi|406652805|gb|CP003801.1|,744985,alpha proteobacterium HIMB59,alpha proteobacterium HIMB59,Bacteria,97.764,313,313,1410127,7,0,0,1,313,696291,696603,"Alpha proteobacterium HIMB59, complete genome",8.69E-147,534,100,100
Zotu31,gi|1631961175|gb|MH197044.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.013,304,304,397,3,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.41E-147,535,100,100
Zotu31,gi|1631961171|gb|MH197042.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,97.368,304,304,397,8,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",7.87E-141,513,100,100
Zotu31,gi|1934896832|gb|MW278695.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,97.368,304,304,649,8,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508565-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",7.87E-141,513,100,100
Zotu31,gi|1934896034|gb|MW278296.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,97.368,304,304,649,8,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508274-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",7.87E-141,513,100,100
Zotu31,gi|1934895134|gb|MW277847.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,97.368,304,304,649,8,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508018-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",7.87E-141,513,100,100
Zotu38,gi|1775178874|gb|MK922345.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42401,4,0,0,1,313,31401,31089,"Aureococcus anophagefferens mitochondrion, complete genome",3.94E-151,547,100,100
Zotu38,gi|1959386586|gb|MW438348.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42401,4,0,0,1,313,432,744,"Aureococcus anophagefferens strain CCMP1984 mitochondrion, complete genome",3.94E-151,547,100,100
Zotu38,gi|1959386541|gb|MW438347.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42401,4,0,0,1,313,432,744,"Aureococcus anophagefferens strain CCMP3368 mitochondrion, complete genome",3.94E-151,547,100,100
Zotu38,gi|1959386496|gb|MW438346.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42401,4,0,0,1,313,432,744,"Aureococcus anophagefferens strain CCMP1708 mitochondrion, complete genome",3.94E-151,547,100,100
Zotu38,gi|1959386452|gb|MW438345.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42586,4,0,0,1,313,432,744,"Aureococcus anophagefferens strain CCMP1707 mitochondrion, complete genome",3.94E-151,547,100,100
Zotu38,gi|1959386406|gb|MW438344.1|,44056,Aureococcus anophagefferens,Aureococcus anophagefferens,Eukaryota,98.722,313,313,42621,4,0,0,1,313,432,744,"Aureococcus anophagefferens strain CCMP1850 mitochondrion, complete genome",3.94E-151,547,100,100
Zotu47,gi|1934896832|gb|MW278695.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,100,304,304,649,0,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508565-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.09E-151,549,100,100
Zotu47,gi|1934896034|gb|MW278296.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,100,304,304,649,0,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508274-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.09E-151,549,100,100
Zotu47,gi|1935524151|gb|MW284785.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.671,304,304,649,1,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508000-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",4.65E-150,545,100,100
Zotu47,gi|1631961173|gb|MH197043.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.013,304,304,397,3,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.41E-147,535,100,100
Zotu47,gi|1631961171|gb|MH197042.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,98.684,304,304,397,4,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.93E-146,531,100,100
Zotu47,gi|1934895134|gb|MW277847.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,98.684,304,304,649,4,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508018-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",2.93E-146,531,100,100
Zotu47,gi|2125174950|gb|MT635133.1|,1168138,Dendostrea sandvichensis,Dendostrea sandvichensis,Eukaryota,98.355,304,304,16338,5,0,0,1,304,453,756,"Dendostrea sandvichensis mitochondrion, complete genome",1.25E-144,526,100,100
Zotu47,gi|2020513531|gb|MW843009.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,98.355,304,304,613,5,0,0,1,304,294,597,"Dendostrea frons voucher P1-23-2018 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.25E-144,526,100,100
Zotu49,gi|1987535040|gb|MW603755.1|,662074,Stauridiosarsia nipponica,Stauridiosarsia nipponica,Eukaryota,98.722,313,313,684,4,0,0,1,313,357,669,"Stauridiosarsia nipponica isolate HA001 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",3.94E-151,547,100,100
Zotu66,gi|1631961173|gb|MH197043.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.671,304,304,397,1,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4.65E-150,545,100,100
Zotu66,gi|1934896832|gb|MW278695.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.342,304,304,649,2,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508565-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu66,gi|1934896034|gb|MW278296.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.342,304,304,649,2,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508274-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu66,gi|1935524151|gb|MW284785.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.013,304,304,649,3,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508000-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",2.41E-147,535,100,100
Zotu66,gi|1631961171|gb|MH197042.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,98.684,304,304,397,4,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.93E-146,531,100,100
Zotu66,gi|1934895134|gb|MW277847.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,98.684,304,304,649,4,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508018-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",2.93E-146,531,100,100
Zotu66,gi|2125174950|gb|MT635133.1|,1168138,Dendostrea sandvichensis,Dendostrea sandvichensis,Eukaryota,98.355,304,304,16338,5,0,0,1,304,453,756,"Dendostrea sandvichensis mitochondrion, complete genome",1.25E-144,526,100,100
Zotu66,gi|2020513531|gb|MW843009.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,98.355,304,304,613,5,0,0,1,304,294,597,"Dendostrea frons voucher P1-23-2018 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.25E-144,526,100,100
Zotu68,gi|1987535040|gb|MW603755.1|,662074,Stauridiosarsia nipponica,Stauridiosarsia nipponica,Eukaryota,97.764,313,313,684,7,0,0,1,313,357,669,"Stauridiosarsia nipponica isolate HA001 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",8.69E-147,534,100,100
Zotu79,gi|1069323424|gb|KX665166.1|,252669,Clytia gracilis,Clytia gracilis,Eukaryota,97.125,313,313,636,9,0,0,1,313,312,624,"Clytia gracilis voucher USNM:1420648 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4.50E-144,525,100,100
Zotu79,gi|1069323430|gb|KX665169.1|,252669,Clytia gracilis,Clytia gracilis,Eukaryota,96.805,313,313,699,10,0,0,1,313,366,678,"Clytia gracilis voucher USNM:1420660 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",5.48E-143,520,100,100
Zotu79,gi|1069323426|gb|KX665167.1|,252669,Clytia gracilis,Clytia gracilis,Eukaryota,96.805,313,313,696,10,0,0,1,313,366,678,"Clytia gracilis voucher USNM:1420655 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",5.48E-143,520,100,100
Zotu97,gi|1476413011|gb|MG230153.1|,415614,Acanthocyclops robustus,Acanthocyclops robustus,Eukaryota,100,313,313,620,0,0,0,1,313,308,620,"Acanthocyclops robustus haplotype SouR1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu97,gi|1042416293|gb|KT075049.1|,1266903,Acanthocyclops americanus,Acanthocyclops americanus,Eukaryota,100,313,313,1169,0,0,0,1,313,324,636,"Acanthocyclops americanus isolate A_vern_201 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu97,gi|429126288|gb|KC016182.1|,415614,Acanthocyclops robustus,Acanthocyclops robustus,Eukaryota,100,313,313,658,0,0,0,1,313,346,658,"Acanthocyclops robustus voucher EES046 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu97,gi|1042416317|gb|KT075061.1|,1266903,Acanthocyclops americanus,Acanthocyclops americanus,Eukaryota,99.681,313,313,1155,1,0,0,1,313,310,622,"Acanthocyclops americanus isolate A_vern_203 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",1.79E-155,563,100,100
Zotu97,gi|1368660439|gb|MG448637.1|,415614,Acanthocyclops robustus,Acanthocyclops robustus,Eukaryota,99.681,313,313,658,1,0,0,1,313,346,658,"Acanthocyclops robustus voucher GZPL-122 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",6.25E-155,561,100,100
Zotu100,gi|1631961171|gb|MH197042.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.342,304,304,397,2,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu100,gi|1934896832|gb|MW278695.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.342,304,304,649,2,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508565-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu100,gi|1934896034|gb|MW278296.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.342,304,304,649,2,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508274-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu100,gi|1631961173|gb|MH197043.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.013,304,304,397,3,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.41E-147,535,100,100
Zotu100,gi|1935524151|gb|MW284785.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.013,304,304,649,3,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508000-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",2.41E-147,535,100,100
Zotu100,gi|1934895134|gb|MW277847.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,98.684,304,304,649,4,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508018-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",2.93E-146,531,100,100
Zotu100,gi|2125174950|gb|MT635133.1|,1168138,Dendostrea sandvichensis,Dendostrea sandvichensis,Eukaryota,98.355,304,304,16338,5,0,0,1,304,453,756,"Dendostrea sandvichensis mitochondrion, complete genome",1.25E-144,526,100,100
Zotu100,gi|2020513531|gb|MW843009.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,98.355,304,304,613,5,0,0,1,304,294,597,"Dendostrea frons voucher P1-23-2018 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.25E-144,526,100,100
Zotu106,gi|1934895786|gb|MW278173.1|,2790888,Thylaeodus sp. Rawlings et al 2010,Thylaeodus sp. Rawlings et al 2010,Eukaryota,100,313,313,658,0,0,0,1,313,346,658,"Thylaeodus sp. Rawlings et al 2010 voucher UF:Invertebrate Zoology:508184-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu106,gi|298367198|gb|HM174256.1|,765162,Thylaeodus sp. TAR-2010,Thylaeodus sp. TAR-2010,Eukaryota,99.042,313,313,6415,3,0,0,1,313,6103,6415,"Thylaeodus sp. TAR-2010 mitochondrion, partial genome",3.24E-152,552,100,100
Zotu110,gi|1249141410|gb|KX866738.1|,1336888,Terpios gelatinosus,Terpios gelatinosus,Eukaryota,100,313,313,1192,0,0,0,1,313,345,657,"Terpios gelatinosus voucher Po.25564 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",1.47E-156,565,100,100
Zotu110,gi|664803915|gb|KJ620404.1|,1518554,aff. Protosuberites sp. 190513-06,aff. Protosuberites sp. 190513-06,Eukaryota,99.681,313,313,659,1,0,0,1,313,341,653,"Aff. Protosuberites sp. 190513-06 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",6.25E-155,561,100,100
Zotu110,gi|1913154947|gb|MW059097.1|,2773009,Suberitidae sp. 4 JV-2020,Suberitidae sp. 4 JV-2020,Eukaryota,99.681,313,313,1176,1,0,0,1,313,345,657,"Suberitidae sp. 4 JV-2020 voucher UF 3943 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",6.25E-155,561,100,100
Zotu110,gi|50083203|gb|AY561979.1|,283545,Protosuberites sp. POR14649,Protosuberites sp. POR14649,Eukaryota,99.681,313,313,709,1,0,0,1,313,371,683,"'Protosuberites' sp. POR14649 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",6.25E-155,561,100,100
Zotu110,gi|1913154943|gb|MW059095.1|,2773006,Suberitidae sp. 1 JV-2020,Suberitidae sp. 1 JV-2020,Eukaryota,99.361,313,313,687,2,0,0,1,313,360,672,"Suberitidae sp. 1 JV-2020 voucher KBOA1219165 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",7.61E-154,556,100,100
Zotu110,gi|1913154949|gb|MW059098.1|,2773010,Suberitidae sp. 5 JV-2020,Suberitidae sp. 5 JV-2020,Eukaryota,99.042,313,313,1167,3,0,0,1,313,327,639,"Suberitidae sp. 5 JV-2020 voucher UF 3942 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",3.24E-152,552,100,100
Zotu110,gi|1133566571|gb|KX601202.1|,1931084,Protosuberites mereui,Protosuberites mereui,Eukaryota,98.403,313,313,527,5,0,0,1,313,201,513,"Protosuberites mereui voucher PROTOBM08 cytochrome oxidase subunit I gene, partial cds; mitochondrial",1.68E-149,543,100,100
Zotu110,gi|1133566563|gb|KX601198.1|,1931084,Protosuberites mereui,Protosuberites mereui,Eukaryota,98.403,313,313,527,5,0,0,1,313,201,513,"Protosuberites mereui voucher PROTOBM04 cytochrome oxidase subunit I gene, partial cds; mitochondrial",1.68E-149,543,100,100
Zotu110,gi|1682790086|gb|MG825741.1|,2075534,Protosuberites sp. MN-2018,Protosuberites sp. MN-2018,Eukaryota,98.083,313,313,653,6,0,0,1,313,327,639,"Protosuberites sp. MN-2018 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2.04E-148,538,100,100
Zotu110,gi|1133566561|gb|KX601197.1|,1931084,Protosuberites mereui,Protosuberites mereui,Eukaryota,98.083,313,313,527,6,0,0,1,313,201,513,"Protosuberites mereui voucher PROTOBM03 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2.04E-148,538,100,100
Zotu148,gi|1934895786|gb|MW278173.1|,2790888,Thylaeodus sp. Rawlings et al 2010,Thylaeodus sp. Rawlings et al 2010,Eukaryota,99.361,313,313,658,2,0,0,1,313,346,658,"Thylaeodus sp. Rawlings et al 2010 voucher UF:Invertebrate Zoology:508184-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",7.61E-154,556,100,100
Zotu148,gi|298367198|gb|HM174256.1|,765162,Thylaeodus sp. TAR-2010,Thylaeodus sp. TAR-2010,Eukaryota,99.042,313,313,6415,3,0,0,1,313,6103,6415,"Thylaeodus sp. TAR-2010 mitochondrion, partial genome",3.24E-152,552,100,100
Zotu149,gi|1934896832|gb|MW278695.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.671,304,304,649,1,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508565-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",4.65E-150,545,100,100
Zotu149,gi|1934896034|gb|MW278296.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.671,304,304,649,1,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508274-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",4.65E-150,545,100,100
Zotu149,gi|1631961173|gb|MH197043.1|,74448,Dendostrea frons,Dendostrea frons,Eukaryota,99.342,304,304,397,2,0,0,1,304,80,383,"Dendostrea frons isolate Port Papeete-2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",5.66E-149,540,100,100
Zotu149,gi|1935524151|gb|MW284785.1|,2790775,Ostreidae sp. HAW01,Ostreidae sp. HAW01,Eukaryota,99.342,304,304,649,2,0,0,1,304,346,649,"Ostreidae sp. HAW01 voucher UF:Invertebrate Zoology:508000-Mollusca cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",5.66E-149,540,100,100
